pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
AVPickup---AVDropoff	614	340	230	139	89	59	51	30	21	29	7	10	31
AVStay---AVPickup	1093	340	126	52	23	9	4	2	0	0	0	0	1
education_1---education_2	22	0	1	1	0	0	0	0	0	0	0	0	0
education_1---escort_kids_2	0	0	0	1	0	1	0	0	0	0	0	0	0
education_1---escort_other_1	1	2	2	0	1	0	0	0	0	0	0	0	1
education_1---escort_other_2	2	0	0	0	0	0	0	0	0	0	0	0	0
education_1---home_1	60	71	49	34	21	31	23	19	20	13	12	19	22
education_1---home_2	216	216	117	78	62	47	52	36	30	18	23	13	44
education_1---home_3	3	2	1	0	1	0	0	2	0	1	0	0	0
education_1---leisure_1	68	45	17	15	11	6	5	11	4	3	2	2	3
education_1---leisure_2	0	2	0	0	1	0	1	0	2	0	0	0	1
education_1---leisure_3	0	1	1	0	0	0	0	0	0	0	0	0	0
education_1---remote_home_1	6	3	3	0	1	0	0	0	0	0	0	0	0
education_1---remote_work_1	0	0	0	0	0	1	0	0	0	0	0	0	0
education_1---shop_1	35	17	11	5	8	5	8	7	4	0	4	0	0
education_1---shop_2	0	0	0	2	0	0	0	1	0	1	0	0	0
education_1---work_1	0	0	1	0	0	1	1	0	2	1	0	0	1
education_1---work_2	2	0	2	0	0	1	0	0	1	1	0	0	2
education_2---education_3	16	0	0	0	0	0	0	0	0	0	0	0	0
education_2---escort_kids_1	0	0	1	0	0	0	0	0	0	0	0	0	0
education_2---escort_kids_2	1	0	0	0	0	0	0	0	0	0	0	0	0
education_2---escort_other_1	0	2	2	1	0	0	0	0	0	1	0	0	0
education_2---escort_other_2	0	0	0	0	0	1	0	0	0	0	0	0	0
education_2---home_1	86	83	39	37	29	22	14	16	8	11	10	11	21
education_2---home_2	6	6	3	4	4	3	2	3	2	1	1	4	2
education_2---home_3	55	40	28	19	13	6	9	15	2	2	1	1	12
education_2---home_4	0	0	0	0	0	1	0	0	0	0	0	0	0
education_2---leisure_1	21	18	7	7	4	3	5	2	3	1	0	0	1
education_2---leisure_2	4	5	3	0	3	1	0	0	4	0	2	1	0
education_2---leisure_3	2	0	0	0	0	0	0	0	0	0	0	0	0
education_2---remote_home_1	0	1	0	0	1	0	0	0	0	0	1	0	0
education_2---remote_home_2	1	1	1	0	0	0	0	0	0	0	0	0	0
education_2---remote_work_1	0	2	0	0	0	0	0	0	0	0	0	0	0
education_2---shop_1	8	3	3	2	1	1	1	0	0	0	0	0	0
education_2---shop_2	3	1	0	0	0	0	0	0	1	0	0	1	0
education_2---work_1	0	0	0	0	0	0	0	2	0	0	0	0	2
education_2---work_2	0	0	0	1	0	0	0	0	0	0	0	0	0
education_3---education_4	2	0	0	0	0	0	0	0	0	0	0	0	0
education_3---escort_kids_1	1	0	0	0	0	0	0	0	0	0	0	0	0
education_3---home_1	9	8	3	1	1	2	0	2	0	0	0	0	1
education_3---home_2	1	0	0	0	0	0	0	0	0	0	0	0	0
education_3---home_3	1	1	0	1	0	1	0	0	0	0	0	0	0
education_3---leisure_1	0	1	0	0	1	0	0	0	0	1	1	0	0
education_3---remote_home_2	0	0	0	0	0	0	0	1	0	0	0	0	0
education_4---home_2	0	0	0	0	0	0	0	2	0	0	0	0	0
escort_kids_1---education_1	0	1	0	1	0	1	0	1	0	0	0	0	0
escort_kids_1---education_2	0	1	0	0	0	0	1	0	0	0	0	0	0
escort_kids_1---escort_kids_2	2	2	2	0	0	2	0	0	0	0	1	0	1
escort_kids_1---escort_other_1	6	6	1	1	1	0	0	0	0	0	0	0	0
