Iteration	car	pt	av	walk	bike	ride	other	outside
0	0.4750494333765654	0.15091531477898495	0.0	0.30174558288861014	0.07228966895583952	0.0	0.0	0.0
1	0.462611357982693	0.1530202198456403	0.009089362787829822	0.29804605277145835	0.07723300661237854	0.0	0.0	0.0
2	0.4524057576595157	0.15489124657155615	0.017143991098448608	0.2941764293155869	0.08138257535489267	0.0	0.0	0.0
3	0.4448206578359875	0.1570758828907363	0.022213126953415686	0.29114132630280865	0.08474900601705186	0.0	0.0	0.0
4	0.4385771692216104	0.15897773903429507	0.02641974783662535	0.288282695128952	0.08774264877851722	0.0	0.0	0.0
5	0.4339860665206699	0.1613016392745519	0.028015790331611137	0.286337961289591	0.09035854258357608	0.0	0.0	0.0
6	0.4297985305150487	0.16334731541076022	0.029158858066220983	0.28427456709726606	0.09342072891070403	0.0	0.0	0.0
7	0.42560011056067015	0.16534667148597793	0.030755001807241725	0.28218484893585355	0.09611336721025662	0.0	0.0	0.0
8	0.4222874246687314	0.16715214140426227	0.0314885293304701	0.28046029147383517	0.09861161312270109	0.0	0.0	0.0
9	0.4192800799438692	0.16859651733888972	0.03209448684965875	0.2790423745030085	0.10098654136457381	0.0	0.0	0.0
10	0.41664363319371506	0.17018225114668037	0.03236605632795542	0.27788612637548493	0.10292193295616424	0.0	0.0	0.0
