ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-8.547056527524864	-8.547056527524864	-8.547056527524864	-8.547056527524864
1	-7.355328667340577	-7.962232595905485	-7.423975818558374	-6.8857190412112645
2	-7.397472736538889	-8.360110233185662	-7.238304176406684	-6.177389830719292
3	-7.129827639531176	-8.765176830018792	-7.2624578983020855	-5.9235711935469295
4	-8.330587618617727	-10.391890632584953	-7.906843366201527	-5.816181790463735
5	-8.27919414863531	-11.522532172257545	-8.27266267340675	-5.692986042387908
6	-7.286294897594303	-11.728527858456273	-8.22470225284423	-5.604312490977639
7	-8.781563401411244	-13.46887742344071	-8.887278271837745	-5.572289270495727
8	-8.138981449487497	-14.126566018169813	-9.07120597721242	-5.5403427059334
9	-8.01112952012845	-14.854146779818427	-9.28234179061471	-5.513826451535021
10	-6.822650512992795	-14.828968279925784	-9.100022418539035	-5.366620279444603
