Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	11:00:28	11:00:28	11:00:28			11:00:28	11:00:28	11:00:29	11:00:29	11:00:29	11:00:47	11:00:47	11:00:47	11:00:47	11:00:47	11:00:47			11:00:48	11:00:48		00:00:00		00:00:01	00:00:01	00:00:17	00:00:00	00:00:00		00:00:01	00:00:20
1	11:00:48	11:00:48	11:00:48	11:00:48	11:01:01	11:01:01	11:01:01	11:01:03	11:01:03	11:01:03	11:01:12	11:01:12	11:01:12	11:01:12	11:01:12	11:01:12			11:01:13	11:01:13		00:00:00	00:00:13	00:00:01	00:00:01	00:00:09	00:00:00	00:00:00		00:00:01	00:00:25
2	11:01:13	11:01:13	11:01:14	11:01:14	11:01:24	11:01:24			11:01:25	11:01:25	11:01:35	11:01:35	11:01:35	11:01:35	11:01:35	11:01:35			11:01:36	11:01:36		00:00:00	00:00:10		00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:22
3	11:01:36	11:01:36	11:01:37	11:01:37	11:01:50	11:01:50			11:01:50	11:01:50	11:02:03	11:02:03	11:02:03	11:02:03	11:02:03	11:02:03			11:02:04	11:02:04		00:00:00	00:00:13		00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:00:27
4	11:02:04	11:02:04	11:02:04	11:02:04	11:02:16	11:02:16			11:02:16	11:02:16	11:02:32	11:02:32	11:02:32	11:02:32	11:02:32	11:02:32			11:02:33	11:02:33		00:00:00	00:00:11		00:00:00	00:00:15	00:00:00	00:00:00		00:00:01	00:00:29
5	11:02:33	11:02:33	11:02:33	11:02:33	11:02:45	11:02:45			11:02:46	11:02:46	11:02:59	11:02:59	11:02:59	11:02:59	11:02:59	11:02:59			11:03:01	11:03:01		00:00:00	00:00:12		00:00:00	00:00:13	00:00:00	00:00:00		00:00:01	00:00:27
6	11:03:01	11:03:01	11:03:01	11:03:01	11:03:14	11:03:14			11:03:14	11:03:14	11:03:24	11:03:24	11:03:24	11:03:24	11:03:24	11:03:24			11:03:25	11:03:25		00:00:00	00:00:12		00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:24
7	11:03:25	11:03:25	11:03:26	11:03:26	11:03:38	11:03:38			11:03:38	11:03:38	11:03:52	11:03:52	11:03:52	11:03:52	11:03:52	11:03:52			11:03:53	11:03:53		00:00:00	00:00:12		00:00:00	00:00:13	00:00:00	00:00:00		00:00:01	00:00:27
8	11:03:53	11:03:53	11:03:53	11:03:53	11:04:03	11:04:03			11:04:03	11:04:03	11:04:16	11:04:16	11:04:16	11:04:16	11:04:16	11:04:16			11:04:17	11:04:17		00:00:00	00:00:09		00:00:00	00:00:13	00:00:00	00:00:00		00:00:01	00:00:24
9	11:04:17	11:04:17	11:04:17	11:04:17	11:04:28	11:04:28			11:04:28	11:04:28	11:04:40	11:04:40	11:04:40	11:04:40	11:04:40	11:04:40			11:04:41	11:04:41		00:00:00	00:00:10		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:24
10	11:04:41	11:04:41	11:04:42	11:04:42	11:04:52	11:04:52	11:04:52	11:04:54	11:04:54	11:04:54	11:05:11	11:05:11	11:05:11	11:05:11	11:05:11	11:05:11	11:05:11	11:05:11	11:05:12	11:05:12		00:00:00	00:00:09	00:00:02	00:00:02	00:00:16	00:00:00	00:00:00	00:00:00	00:00:01	00:00:31
